ID,EN,FR
ID_Q1,What does Covid19 mean?,Que signifie Covid19?
ID_Q1AnswerTrue,Coronavirus Disease 19,Coronavirus Disease 19
ID_Q1AnswerFalse,CoronaVinyl Doc 19,CoronaVinyl Doc 19
ID_Q2,In which country did the disease break out?,Dans quel pays la maladie est-elle apparue?
ID_Q2AnswerTrue,Senegal,Senegal
ID_Q2AnswerFalse,China,China
ID_Q3,Can the disease affect children?,La maladie peut-elle toucher les enfants?
ID_Q3AnswerTrue,"No, it is an adult disease.",Non c’est une maladie d’adultes
ID_Q3AnswerFalse,"Yes, children can get the disease.",Oui les enfants peuvent attraper la maladie
ID_Q4,Are all carriers of the disease visibly sick?,Est-on forcement tres malade quand on a covid19 ?
ID_Q4AnswerTrue,"No, some  can be asymptomatic.",Non on peut etre asymptomatique
ID_Q4AnswerFalse,"Yes, otherwise it means they are not ill.",Oui sinon ca veut dire qu’on n’est pas malade
ID_Q5,What should you do if you have symptoms?,En cas de symptômes que dois-tu faire?
ID_Q5AnswerTrue,I should quarantine myself and call the nearest hospital.,Je dois me mettre en quarantaine et appeler l’hopital le plus proche
ID_Q5AnswerFalse,I should take medication and visit my friends.,Je prends des medicaments et je sors voir mes amis
ID_Q6,What are the measures used to prevent the spread of the Covid-19 virus?,Comment s’appelent les mesures pour se proteger de Covid19 ?
ID_Q6AnswerTrue,Gateway gestures,Les gestes portail
ID_Q6AnswerFalse,Barrier measures,Les gestes barrieres
ID_Q7,"During this pandemic, can you give your friends handshakes?",Peux-tu saluer tes amis avec la paume de la main?
ID_Q7AnswerTrue,"Yes, they are my friends.",Oui ce sont mes amis
ID_Q7AnswerFalse,"No, it's better to greet them with your fist to avoid being contaminated.",Non il vaut mieux les saluer avec le poing pour éviter d’être contamine
ID_Q8,Should you wash your hands when you get home?,Dois tu te laver les mains en rentrant à la maison?
ID_Q8AnswerTrue,"Yes, for at least 30 seconds.",Oui pendant 30 secondes au moins
ID_Q8AnswerFalse,"No, soap does not kill germs.",Non parce que le savon ne tue pas les microbes
ID_Q9,Can you wear a mask amongst your friends?,Peux-tu porter un masque avec tes amis?
ID_Q9AnswerTrue,"No, they won't hear me when I talk.",Non ils ne vont pas m’entendre quand je vais parler
ID_Q9AnswerFalse,"Yes, they can infect me and I can infect them.",Oui ils peuvent me contaminer et je peux les contaminer
ID_Q10,Should you be vaccinated?,Faut-il se vacciner ?
ID_Q10AnswerTrue,"No,the vaccine makes you sick.",Non parce que la vaccination rend malade
ID_Q10AnswerFalse,"Yes, the vaccine reduces the risk of dying.",Oui parce que la vaccination réduit les risques de mourir
ID_Q11,Where can we get reliable information on Covid-19?,Où peut-on trouver des informations fiables sur covid19?
ID_Q11AnswerTrue,From our neighbours.,Chez les voisins
ID_Q11AnswerFalse,From the UNESCO website.,Sur le site web de l’Unesco
ID_Q12,Does Covid-19 make it difficult to get food?,Covid19 rend-il plus difficile l'accès à la nourriture?
ID_Q12AnswerTrue,"Yes, it slows down the economy.",Oui car l’économie est ralentie
ID_Q12AnswerFalse,"No, everyone has more money.","Non, parce que tout le monde a plus d’argent"
ID_Q13,Are journalists trained to cover Covid-19 news?,Les journalistes sont-ils formés pour couvrir covid19?
ID_Q13AnswerTrue,"Yes, they have to publish verified and real information. ","Oui, ils doivent publier des informations vérifiées et réelles"
ID_Q13AnswerFalse,"No, they can say what they want.",Non ils disent ce qu’ils veulent
ID_Q14,What name is given to the process of verifying information?,Comment Appelle t on le fait de vérifier les informations que l'on a?
ID_Q14AnswerTrue,Curiosity,La curiosité
ID_Q14AnswerFalse,Fact-checking,Le Factchecking
ID_Q15,Does rinsing the nose with salt and water prevent Covid-19?,Se rincer le nez avec de l’eau salee protège-t-il contre COVID-19?
ID_Q15AnswerTrue,"No, it prevents the common cold.","Non, ça aide à soigner un simple rhume"
ID_Q15AnswerFalse,"Yes, especially with boiled water.","Oui, surtout avec de l’eau bouillante"
ID_Q16,You cannot  be re-infected after recovering from Covid-19.,Si on a eu Covid19 une fois on ne peut pas l’avoir une deuxième fois
ID_Q16AnswerTrue,"No, you can be re-infected after a while.","Non, on peut à nouveau attraper la maladie après un certain temps"
ID_Q16AnswerFalse,"Yes, you have antibodies which prevent re-infection.","Oui, on aura beaucoup d’anticorps"
ID_Q17,Can children contract the disease?,Les enfants peuvent-ils attraper Covid19?
ID_Q17AnswerTrue,"No, they are very strong.","Non, ils sont trop forts"
ID_Q17AnswerFalse,"Yes, but they do not become as sick as most adults.","Oui, mais a une fréquence moins importante que les adultes"
ID_Q18,Does spraying alcohol prevent Covid19?,S’asperger d’alcool permet-il de se protéger contre covid19
ID_Q18AnswerTrue,"Yes, because the alcohol enters our body.","Oui, car l’alcool entre dans notre corps"
ID_Q18AnswerFalse,"No, because it also damages our clothes.","Non car en plus de cela, ça abime nos vêtements "
ID_Q19,Can any antibiotic treat Covid19?,N’importe quel antibiotique peut-il soigner Covid19
ID_Q19AnswerTrue,"Yes, they are made to treat any kind of disease.","Oui, ils sont faits pour traiter tout genre de maladie"
ID_Q19AnswerFalse,"No, there are specific antibiotics for treating this disease.","Non, il y a des antibiotiques spécifiques pour le traitement de la maladie"
ID_Q20,Can mosquitoes transmit Covid19?,Covid19 peut-il se transmettre par les moustiques
ID_Q20AnswerTrue,"Yes, just like they transmit malaria.",Oui c’est comme le paludisme
ID_Q20AnswerFalse,"No, it is impossible.",Non c’est impossible
ID_Q21,Can someone who has had the virus take the vaccine?,Si on a déjà eu Covid19 est-il utile de se vacciner?
ID_Q21AnswerTrue,"No, the antibodies prevent reinfection for life. ",Non les anticorps nous protègent toute notre vie
ID_Q21AnswerFalse,"Yes, the disease can be contracted several times.",Oui car on peut faire la maladie plusieurs fois
ID_Q22,Is the second dose of the vaccine different from the first?,La seconde dose de vaccin peut-elle être différente de la première?
ID_Q22AnswerTrue,"No, otherwise the vaccine will no longer be effective.",Non car sinon le vaccin ne serait plus efficace
ID_Q22AnswerFalse,"Yes, it is different.",Oui c’est la même chose
ID_Q23,Does the Covid19 vaccine give Covid19?,Le vaccin contre covid19 donne-t-il covid19?
ID_Q23AnswerTrue,"No, vaccines do not spread the disease.","Non, les vaccins ne donnent pas la maladie"
ID_Q23AnswerFalse,"Yes, the world knows.",Oui tout le monde le sait
